Experiment ID	Experiment name	Library count	Condition count	Organ-stage count	Organ count	Stage count	Sex count	Strain count	Data source	Data source URL	Bgee normalized data URL	Experiment description
SRP101726	"Genome Scale Analysis of miRNA and mRNA regulation during preterm labor [monocytes]"	29	1	1	1	1	1	1	SRA	https://www.ncbi.nlm.nih.gov/sra/SRP101726	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Homo_sapiens/Homo_sapiens_RNA-Seq_read_counts_TPM_FPKM_SRP101726.tsv.gz	"The goal of this study was to define relationships between peripheral blood miRNAs and mRNAs of women undergoing idiopathic preterm labor (PTL) and compare network level changes to control women that deliver at term.Using RNA Sequencing we have performed global miRNA and mRNA profiling in both monocytes and whole blood leukocytes of women who underwent PTL (N=15) matched to non-pathological controls (N=30) as a part of the Ontario Birth Study cohort. We have identified differentially expressed miRNAs, mRNAs and pathways associated with PTL. Intriguingly, we found perturbations in many cellular signaling pathways, particularly in interleukin signaling. We also predicted mRNA targets for specific miRNAs and used these predictions to build putative miRNA-mRNA networks. We identified 6 miRNAs significantly associated with PTL whose expression is negatively correlated with expression of 14 predicted mRNA targets that are also significantly associated with PTL. Overall design: miRNA and mRNA were quantified from whole blood and monocytes of women undergoing spontaneous preterm labor compared to nonlabor controls matched on gestational age"
ERP006650	"RNA-seq of coding RNA from tissue samples of 127 human individuals representing 32 different tissues."	27	12	9	9	1	2	1	SRA	https://www.ncbi.nlm.nih.gov/sra/ERP006650	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Homo_sapiens/Homo_sapiens_RNA-Seq_read_counts_TPM_FPKM_ERP006650.tsv.gz	"RNA-seq was performed of tissue samples from 127 human individuals representing 32 different tissues in order to study the human tissue transcriptome. This submission contains 32 samples and the remaining data is located at E-MTAB-1733."
SRP013825	"Transcriptomes of germinal zones of human and mouse fetal neocortex suggest a role of extracellular matrix in progenitor self-renewal."	24	6	12	3	4	1	1	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRP013825	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Homo_sapiens/Homo_sapiens_RNA-Seq_read_counts_TPM_FPKM_SRP013825.tsv.gz	"Total RNA was isolated from the VZ, inner SVZ (ISVZ), outer SVZ (OSVZ) and CP of six 13-16 weeks post-conception (w.p.c.) human fetuses and from the VZ, SVZ and CP of five E14.5 mouse embryos using laser capture microdissection of Nissl-stained cryosections of dorsolateral telencephalon. Poly A+ RNA was used as template for the preparation of cDNA which were then subjected to single-end 76-bp RNA-Seq."
GSE58608	"The human skeletal muscle transcriptome assessed with RNA sequencing"	24	2	1	1	1	2	1	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE58608	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Homo_sapiens/Homo_sapiens_RNA-Seq_read_counts_TPM_FPKM_GSE58608.tsv.gz	"The amount of RNA sequencing data on skeletal muscle is very limited. We have analyzed a large set of human muscle biopsy samples and provide extensive information on the baseline skeletal muscle transcriptome, including completely novel protein-coding transcripts."
SRP101737	"Genome Scale Analysis of miRNA and mRNA regulation during preterm labor [whole blood]"	23	1	1	1	1	1	1	SRA	https://www.ncbi.nlm.nih.gov/sra/SRP101737	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Homo_sapiens/Homo_sapiens_RNA-Seq_read_counts_TPM_FPKM_SRP101737.tsv.gz	"The goal of this study was to define relationships between peripheral blood miRNAs and mRNAs of women undergoing idiopathic preterm labor (PTL) and compare network level changes to control women that deliver at term.Using RNA Sequencing we have performed global miRNA and mRNA profiling in both monocytes and whole blood leukocytes of women who underwent PTL (N=15) matched to non-pathological controls (N=30) as a part of the Ontario Birth Study cohort. We have identified differentially expressed miRNAs, mRNAs and pathways associated with PTL. Intriguingly, we found perturbations in many cellular signaling pathways, particularly in interleukin signaling. We also predicted mRNA targets for specific miRNAs and used these predictions to build putative miRNA-mRNA networks. We identified 6 miRNAs significantly associated with PTL whose expression is negatively correlated with expression of 14 predicted mRNA targets that are also significantly associated with PTL. Overall design: miRNA and mRNA were quantified from whole blood and monocytes of women undergoing spontaneous preterm labor compared to nonlabor controls matched on gestational age"
GSE58387	"The human skeletal muscle transcriptome - sex differences, alternative splicing and tissue homogeneity assessed with RNA sequencing"	22	2	1	1	1	2	1	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE58387	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Homo_sapiens/Homo_sapiens_RNA-Seq_read_counts_TPM_FPKM_GSE58387.tsv.gz	"The amount of RNA sequencing data on skeletal muscle is very limited. We have analyzed a large set of human muscle biopsy samples and provide extensive information on the baseline skeletal muscle transcriptome, including completely novel protein-coding transcripts."
SRP058036	"An atlas of ribosomal RNA-depleted RNA-Seq data from different normal adult and fetal human tissues"	19	19	19	6	18	3	1	SRA	https://www.ncbi.nlm.nih.gov/sra/SRP058036	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Homo_sapiens/Homo_sapiens_RNA-Seq_read_counts_TPM_FPKM_SRP058036.tsv.gz	"Gene expression is the most fundamental level at which the genotype leads to the phenotype of the organism. Enabled by ultra-high-throughput next-generation DNA sequencing, RNA-Seq involves shotgun sequencing of fragmented RNA transcripts by next-generation sequencing followed by in silico assembly, and is rapidly becoming the most popular method for gene expression analysis. Poly[A]+ RNA-Seq analyses of normal human adult tissue samples such as Illumina s Human BodyMap 2.0 Project and the RNA-Seq atlas have provided a useful global resource and framework for comparisons with diseased tissues such as cancer. However, these analyses have failed to provide information on poly[A]- RNA, which is abundant in our cells. The most recent advances in RNA-Seq analyses, use ribosomal RNA-depletion to provide information on both poly[A] and poly[A]- RNA. In this paper, we describe the use of Illumina s HiSeq 2000 to generate high quality rRNA-depleted RNA- Seq sequence datasets from human fetal and adult tissues. The datasets reported here will be useful in demonstrating the different expression profiles in different tissues."
GSE30352	"The evolution of gene expression levels in mammalian organs"	18	18	18	8	17	2	1	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30352	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Homo_sapiens/Homo_sapiens_RNA-Seq_read_counts_TPM_FPKM_GSE30352.tsv.gz	"Changes in gene expression are thought to underlie many of the phenotypic differences between species. However, large-scale analyses of gene expression evolution were until recently prevented by technological limitations. Here we report the sequencing of polyadenylated RNA from six organs across ten species that represent all major mammalian lineages (placentals, marsupials and monotremes) and birds (the evolutionary outgroup), with the goal of understanding the dynamics of mammalian transcriptome evolution. We show that the rate of gene expression evolution varies among organs, lineages and chromosomes, owing to differences in selective pressures: transcriptome change was slow in nervous tissues and rapid in testes, slower in rodents than in apes and monotremes, and rapid for the X chromosome right after its formation. Although gene expression evolution in mammals was strongly shaped by purifying selection, we identify numerous potentially selectively driven expression switches, which occurred at different rates across lineages and tissues and which probably contributed to the specific organ biology of various mammals. Our transcriptome data provide a valuable resource for functional and evolutionary analyses of mammalian genomes."
SRP127360	"A head-to-head comparison of polyA+ selection and rRNA depletion RNA sequencing in blood and colon samples"	16	2	2	2	1	1	1	SRA	https://www.ncbi.nlm.nih.gov/sra/SRP127360	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Homo_sapiens/Homo_sapiens_RNA-Seq_read_counts_TPM_FPKM_SRP127360.tsv.gz	"polyA+ enrichment (mRNA-seq) versus rRNA depletion (total RNAseq)"
SRP019762	"Increased Neanderthal ancestry in genomic regions associated with lipid catabolism in contemporary Europeans"	14	1	1	1	1	1	1	SRA	https://www.ncbi.nlm.nih.gov/sra/SRP019762	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Homo_sapiens/Homo_sapiens_RNA-Seq_read_counts_TPM_FPKM_SRP019762.tsv.gz	"While Neanderthals are extinct, fragments of their genome still persist in the genomes of contemporary humans. Here, we show that such Neanderthal-like sequences are not distributed randomly in contemporary human genomes. Specifically, while genome-wide frequency of Neanderthal-like sites is close to 6% in all out-of-Africa populations, genes involved in lipid catabolism contain large excess Neanderthal-like sequences in Europeans (24.3%), but not in Asians (12.4%). While lipid catabolism cannot be assayed in Neanderthals, we took advantage of genetic divergence between human populations, chimpanzees and Neanderthals to predict metabolic divergence expected from the observed excess of Neanderthal gene flow into Europeans. We confirmed predicted changes in lipid catabolism using hydrophobic metabolome measurements in the brain tissue and further linked these metabolic changes to gene expression divergence. Overall design: 14 human and 6 chimpanzee samples were sequenced."
