Johnson_2023	DiSignAtlas	Gu_2023	ALE	Sirota_2011	Cello	KrishnanLab	URSA_HD	BGee	URSA	Golightly_2018
1.0	0.016934939339156192	0.04059434388211632	0.007916468913146653	0.0010228752092244747	0.004089170294156444	0.08459163149097708	0.04191809477834098	0.00407549366842948	0.0864600899381675	0.055346460124400775
0.016934939339156192	1.0	0.004826519667755855	0.015850833341149326	0.005015452307369965	0.00400041161791567	0.012496209988305107	0.016847805648527697	0.0003030742268312931	0.018817045333585646	0.0069504244064460576
0.04059434388211632	0.004826519667755855	1.0	0.0	0.0	0.0013980427401637707	0.015505420918367346	0.0	0.03463203463203463	0.0	0.0
0.007916468913146653	0.015850833341149326	0.0	1.0	0.012130464954892436	0.0	0.023325128836243367	0.02177068214804064	0.0	0.03526357376679083	0.009715812484819043
0.0010228752092244747	0.005015452307369965	0.0	0.012130464954892436	1.0	0.0	0.009227757841263923	0.019801980198019802	0.0	0.015630550621669625	0.0
0.004089170294156444	0.00400041161791567	0.0013980427401637707	0.0	0.0	1.0	0.007326489427042204	0.0	0.0	0.0	0.0
0.08459163149097708	0.012496209988305107	0.015505420918367346	0.023325128836243367	0.009227757841263923	0.007326489427042204	1.0	0.06874461007761488	0.004583835946924005	0.35129254069109583	0.004503997297601621
0.04191809477834098	0.016847805648527697	0.0	0.02177068214804064	0.019801980198019802	0.0	0.06874461007761488	1.0	0.0	0.12460083147556787	0.0
0.00407549366842948	0.0003030742268312931	0.03463203463203463	0.0	0.0	0.0	0.004583835946924005	0.0	1.0	0.0	0.0
0.0864600899381675	0.018817045333585646	0.0	0.03526357376679083	0.015630550621669625	0.0	0.35129254069109583	0.12460083147556787	0.0	1.0	0.012999895583168006
0.055346460124400775	0.0069504244064460576	0.0	0.009715812484819043	0.0	0.0	0.004503997297601621	0.0	0.0	0.012999895583168006	1.0
