Johnson_2023	ALE	URSA_HD	Golightly_2018
25045.0	1516.0	1718.0	2357.0
1516.0	8641.0	613.0	298.0
1718.0	613.0	2072.0	0.0
2357.0	298.0	0.0	4887.0
