Gemma	ursa	krishnanlab	ale	johnson_2023	sirota_2011	disign_atlas	bgee	ursahd	golightly	gu	cello
1.0	0.013905683192261185	0.013879582655307744	0.02430751837196156	0.012013214535989589	0.005423104471503121	0.0468352417302799	0.001020304050607081	0.007802073709064778	0.0013407590759075907	0.0038410997675123824	0.001108089050065478
0.013905683192261185	1.0	0.2815533980582524	0.059602649006622516	0.08842652795838751	0.009107468123861567	0.015918580375782882	0.0	0.08134920634920635	0.0069124423963133645	0.0	0.0
0.013879582655307744	0.2815533980582524	1.0	0.03851779619697709	0.07299843014128729	0.004633920296570899	0.019359299377736807	0.017126546146527116	0.03464870067372473	0.002072538860103627	0.04024496937882765	0.026609442060085836
0.02430751837196156	0.059602649006622516	0.03851779619697709	1.0	0.02680798004987531	0.01715137956748695	0.024172473867595818	0.000741839762611276	0.029635258358662615	0.001606425702811245	0.0006811989100817438	0.0006779661016949153
0.012013214535989589	0.08842652795838751	0.07299843014128729	0.02680798004987531	1.0	0.00333889816360601	0.019141231246766685	0.010344827586206896	0.05150976909413854	0.018947368421052633	0.04283604135893648	0.02295552367288379
0.005423104471503121	0.009107468123861567	0.004633920296570899	0.01715137956748695	0.00333889816360601	1.0	0.01077943615257048	0.0	0.013114754098360656	0.0	0.0	0.0
0.0468352417302799	0.015918580375782882	0.019359299377736807	0.024172473867595818	0.019141231246766685	0.01077943615257048	1.0	0.0008244023083264633	0.020134228187919462	0.0022650056625141564	0.0077685507634610235	0.00453091684434968
0.001020304050607081	0.0	0.017126546146527116	0.000741839762611276	0.010344827586206896	0.0	0.0008244023083264633	1.0	0.0	0.0	0.043478260869565216	0.007281553398058253
0.007802073709064778	0.08134920634920635	0.03464870067372473	0.029635258358662615	0.05150976909413854	0.013114754098360656	0.020134228187919462	0.0	1.0	0.0	0.0	0.0
0.0013407590759075907	0.0069124423963133645	0.002072538860103627	0.001606425702811245	0.018947368421052633	0.0	0.0022650056625141564	0.0	0.0	1.0	0.0	0.0
0.0038410997675123824	0.0	0.04024496937882765	0.0006811989100817438	0.04283604135893648	0.0	0.0077685507634610235	0.043478260869565216	0.0	0.0	1.0	0.03481624758220503
0.001108089050065478	0.0	0.026609442060085836	0.0006779661016949153	0.02295552367288379	0.0	0.00453091684434968	0.007281553398058253	0.0	0.0	0.03481624758220503	1.0
