ALE	BGee	Cello	DiSignAtlas	Golightly_2018	Gu_2023	Johnson_2023	KrishnanLab	Sirota_2011	URSA	URSA_HD
1241	1	1	112	2	1	43	79	24	90	39
1	146	3	5	0	19	8	18	0	0	0
1	3	277	18	0	19	16	31	0	0	0
112	5	18	3551	8	34	76	84	41	61	72
2	0	0	8	42	0	9	2	0	3	0
1	19	19	34	0	285	31	46	0	0	0
43	8	16	76	9	31	442	93	2	68	29
79	18	31	84	2	46	93	925	5	290	36
24	0	0	41	0	0	2	5	193	5	4
90	0	0	61	3	0	68	290	5	395	41
39	0	0	72	0	0	29	36	4	41	150
