CREEDS	DiSignAtlas	Gu_2023	Johnson_2023	KrishnanLab	Sirota_2011	URSA_HD
8448	3945	0	146	654	1093	1096
3945	99072	269	1091	2246	708	2569
0	269	3958	55	452	0	0
146	1091	55	7582	1176	9	1025
654	2246	452	1176	12185	206	5601
1093	708	0	9	206	3010	217
1096	2569	0	1025	5601	217	8239
