ALE	BGee	Cello	DiSignAtlas	Golightly_2018	Gu_2023	Johnson_2023	KrishnanLab	Sirota_2011	URSA	URSA_HD
1.0	0.0	0.0	0.022501660473549106	0.00907873533216823	0.0	0.02237718019426343	0.033405456752335215	0.014377524322402012	0.04855114181539052	0.03414898377334495
0.0	1.0	0.0093082679321044	0.0009415477008423035	0.0	0.03696834817012858	0.006048387096774193	0.007764241592312972	0.0	0.0	0.0
0.0	0.0093082679321044	1.0	0.006417271913242464	0.0	0.0111153334600038	0.009935101354058168	0.027289048473967684	0.0	0.0	0.0
0.022501660473549106	0.0009415477008423035	0.006417271913242464	1.0	0.007022973455541007	0.008097896712711172	0.023861081036062298	0.019579741823730772	0.006523788573942556	0.021092463874154015	0.02461204637158217
0.00907873533216823	0.0	0.0	0.007022973455541007	1.0	0.0	0.084431429965837	0.004094864357618154	0.0	0.012700193818218913	0.0
0.0	0.03696834817012858	0.0111153334600038	0.008097896712711172	0.0	1.0	0.04071341169490897	0.02888177534798403	0.0	0.0	0.0
0.02237718019426343	0.006048387096774193	0.009935101354058168	0.023861081036062298	0.084431429965837	0.04071341169490897	1.0	0.10768165024630542	0.001644736842105263	0.10278625578418825	0.05146376757819747
0.033405456752335215	0.007764241592312972	0.027289048473967684	0.019579741823730772	0.004094864357618154	0.02888177534798403	0.10768165024630542	1.0	0.010429348267186105	0.38226720647773277	0.07818392263749394
0.014377524322402012	0.0	0.0	0.006523788573942556	0.0	0.0	0.001644736842105263	0.010429348267186105	1.0	0.01705148619957537	0.022037168680816493
0.04855114181539052	0.0	0.0	0.021092463874154015	0.012700193818218913	0.0	0.10278625578418825	0.38226720647773277	0.01705148619957537	1.0	0.13590633641230807
0.03414898377334495	0.0	0.0	0.02461204637158217	0.0	0.0	0.05146376757819747	0.07818392263749394	0.022037168680816493	0.13590633641230807	1.0
