Gemma	Johnson_2023	DiSignAtlas	Gu_2023	ALE	Sirota_2011	Cello	KrishnanLab	URSA_HD	CREEDS	BGee	URSA	Golightly_2018
295486.0	4046.0	13284.0	873.0	5060.0	166.0	423.0	2300.0	1602.0	1824.0	709.0	2063.0	1185.0
4046.0	15873.0	1623.0	987.0	390.0	22.0	174.0	2447.0	320.0	434.0	298.0	1461.0	790.0
13284.0	1623.0	89203.0	526.0	1635.0	440.0	373.0	1659.0	1534.0	2304.0	64.0	1343.0	582.0
873.0	987.0	526.0	5559.0	0.0	0.0	111.0	310.0	0.0	0.0	365.0	0.0	0.0
5060.0	390.0	1635.0	0.0	31131.0	433.0	0.0	1195.0	836.0	786.0	0.0	1326.0	400.0
166.0	22.0	440.0	0.0	433.0	2317.0	0.0	198.0	180.0	805.0	0.0	220.0	0.0
423.0	174.0	373.0	111.0	0.0	0.0	3842.0	157.0	0.0	0.0	51.0	0.0	0.0
2300.0	2447.0	1659.0	310.0	1195.0	198.0	157.0	16748.0	1223.0	575.0	390.0	7191.0	120.0
1602.0	320.0	1534.0	0.0	836.0	180.0	0.0	1223.0	5887.0	574.0	0.0	1562.0	0.0
1824.0	434.0	2304.0	0.0	786.0	805.0	0.0	575.0	574.0	6463.0	0.0	557.0	53.0
709.0	298.0	64.0	365.0	0.0	0.0	51.0	390.0	0.0	0.0	4673.0	0.0	0.0
2063.0	1461.0	1343.0	0.0	1326.0	220.0	0.0	7191.0	1562.0	557.0	0.0	9733.0	120.0
1185.0	790.0	582.0	0.0	400.0	0.0	0.0	120.0	0.0	53.0	0.0	120.0	5876.0
