Gemma	Johnson_2023	DiSignAtlas	Gu_2023	ALE	Sirota_2011	Cello	KrishnanLab	URSA_HD	CREEDS	BGee	URSA	Golightly_2018
1.0	0.013165730053723727	0.035766885206176546	0.002908332556001226	0.015735934842034227	0.0005577263579460887	0.0014151653535404225	0.007420934779662767	0.005344079313876259	0.006077467721782591	0.0023676740691267323	0.00680507725395506	0.003947670874184231
0.013165730053723727	1.0	0.01568828356838371	0.04827586206896552	0.00836658514609345	0.0012109202994275649	0.008904354946010952	0.08109630807980381	0.014925373134328358	0.01981554195963839	0.01471750296325563	0.06050942224062953	0.037692638007538526
0.035766885206176546	0.01568828356838371	1.0	0.005581730973301074	0.013774336767790798	0.004830917874396135	0.004024948204419889	0.015907260384305604	0.016396596690752063	0.024678134572952592	0.0006822154948194261	0.01376123287530868	0.0061589256801803235
0.002908332556001226	0.04827586206896552	0.005581730973301074	1.0	0.0	0.0	0.011948331539289559	0.014092830840569169	0.0	0.0	0.03699199351373265	0.0	0.0
0.015735934842034227	0.00836658514609345	0.013774336767790798	0.0	1.0	0.013115250643646827	0.0	0.025597635164081912	0.023105411530595324	0.021354053466637688	0.0	0.03353735646719611	0.010926871909744038
0.0005577263579460887	0.0012109202994275649	0.004830917874396135	0.0	0.013115250643646827	1.0	0.0	0.010494514231197329	0.02243270189431705	0.10094043887147336	0.0	0.018596787827557058	0.0
0.0014151653535404225	0.008904354946010952	0.004024948204419889	0.011948331539289559	0.0	0.0	1.0	0.007683648999168013	0.0	0.0	0.006025519848771267	0.0	0.0
0.007420934779662767	0.08109630807980381	0.015907260384305604	0.014092830840569169	0.025597635164081912	0.010494514231197329	0.007683648999168013	1.0	0.05711750420325051	0.025402014490192613	0.018544054015500928	0.3727838258164852	0.005332385353714895
0.005344079313876259	0.014925373134328358	0.016396596690752063	0.0	0.023105411530595324	0.02243270189431705	0.0	0.05711750420325051	1.0	0.04874320652173913	0.0	0.1111111111111111	0.0
0.006077467721782591	0.01981554195963839	0.024678134572952592	0.0	0.021354053466637688	0.10094043887147336	0.0	0.025402014490192613	0.04874320652173913	1.0	0.0	0.035616087985165294	0.004313853166205437
0.0023676740691267323	0.01471750296325563	0.0006822154948194261	0.03699199351373265	0.0	0.0	0.006025519848771267	0.018544054015500928	0.0	0.0	1.0	0.0	0.0
0.00680507725395506	0.06050942224062953	0.01376123287530868	0.0	0.03353735646719611	0.018596787827557058	0.0	0.3727838258164852	0.1111111111111111	0.035616087985165294	0.0	1.0	0.007747433662599264
0.003947670874184231	0.037692638007538526	0.0061589256801803235	0.0	0.010926871909744038	0.0	0.0	0.005332385353714895	0.0	0.004313853166205437	0.0	0.007747433662599264	1.0
