Johnson_2023	Gemma	ALE	URSA_HD	BGee	Golightly_2018	CREEDS
24567.0	11279.0	1537.0	1538.0	353.0	1434.0	148.0
11279.0	189949.0	6628.0	2495.0	452.0	994.0	350.0
1537.0	6628.0	15676.0	991.0	0.0	272.0	17.0
1538.0	2495.0	991.0	3276.0	0.0	0.0	0.0
353.0	452.0	0.0	0.0	5527.0	0.0	0.0
1434.0	994.0	272.0	0.0	0.0	3911.0	0.0
148.0	350.0	17.0	0.0	0.0	0.0	475.0
