Gemma	DiSignAtlas	Sirota_2011	ALE	Cello	KrishnanLab	URSA	BGee	CREEDS	Johnson_2023	URSA_HD	Golightly_2018	Gu_2023
1.0	0.03302393746946752	0.0021554106333591247	0.015206295193534666	0.0013157894736842105	0.0069440706249663565	0.006651640921334726	0.002356035285737768	0.006413091552410438	0.005543358946212953	0.004546210567167489	0.0004995559502664298	0.0030248033877797943
0.03302393746946752	1.0	0.00488848151542927	0.012628067667381462	0.0017574692442882249	0.012054507337526206	0.009900990099009901	0.001451378809869376	0.019417475728155338	0.012521840419336051	0.01424589656240322	0.001889763779527559	0.0074205995844464235
0.0021554106333591247	0.00488848151542927	1.0	0.009795918367346938	0.0	0.0023612750885478157	0.004415011037527594	0.0	0.07763975155279502	0.0	0.007692307692307693	0.0	0.0
0.015206295193534666	0.012628067667381462	0.009795918367346938	1.0	0.000731528895391368	0.02957906712172924	0.04811250925240563	0.0007158196134574087	0.02749410840534171	0.017857142857142856	0.02172096908939014	0.001774622892635315	0.0007457121551081282
0.0013157894736842105	0.0017574692442882249	0.0	0.000731528895391368	1.0	0.010309278350515464	0.0	0.005309734513274336	0.0	0.017094017094017096	0.0	0.0	0.03225806451612903
0.0069440706249663565	0.012054507337526206	0.0023612750885478157	0.02957906712172924	0.010309278350515464	1.0	0.2567237163814181	0.01507537688442211	0.014332965821389196	0.04853387259858443	0.019536019536019536	0.0027063599458728013	0.02691065662002153
0.006651640921334726	0.009900990099009901	0.004415011037527594	0.04811250925240563	0.0	0.2567237163814181	1.0	0.0	0.03339882121807466	0.05065359477124183	0.06779661016949153	0.005797101449275362	0.0
0.002356035285737768	0.001451378809869376	0.0	0.0007158196134574087	0.005309734513274336	0.01507537688442211	0.0	1.0	0.0	0.01957585644371941	0.0	0.0	0.036328871892925434
0.006413091552410438	0.019417475728155338	0.07763975155279502	0.02749410840534171	0.0	0.014332965821389196	0.03339882121807466	0.0	1.0	0.017110266159695818	0.06050955414012739	0.004201680672268907	0.0
0.005543358946212953	0.012521840419336051	0.0	0.017857142857142856	0.017094017094017096	0.04853387259858443	0.05065359477124183	0.01957585644371941	0.017110266159695818	1.0	0.01809954751131222	0.011363636363636364	0.044036697247706424
0.004546210567167489	0.01424589656240322	0.007692307692307693	0.02172096908939014	0.0	0.019536019536019536	0.06779661016949153	0.0	0.06050955414012739	0.01809954751131222	1.0	0.0	0.0
0.0004995559502664298	0.001889763779527559	0.0	0.001774622892635315	0.0	0.0027063599458728013	0.005797101449275362	0.0	0.004201680672268907	0.011363636363636364	0.0	1.0	0.0
0.0030248033877797943	0.0074205995844464235	0.0	0.0007457121551081282	0.03225806451612903	0.02691065662002153	0.0	0.036328871892925434	0.0	0.044036697247706424	0.0	0.0	1.0
