Experiment ID	Library ID	Anatomical entity ID	Anatomical entity name	Stage ID	Stage name	Sex	Strain	Expression mapped anatomical entity ID	Expression mapped anatomical entity name	Expression mapped stage ID	Expression mapped stage name	Expression mapped sex	Expression mapped strain	Platform ID	Protocol	Library type	Library orientation	TMM normalization factor	TPM expression threshold	Read count	Mapped read count	Min. read length	Max. read length	All genes percent present	Protein coding genes percent present	Intergenic regions percent present	Distinct rank count	Max rank in the expression mapped condition	Run IDs	Data source	Data source URL	Bgee normalized data URL	Raw file URL
SRP055573	SRX893428	UBERON:0000014	"zone of skin"	UBERON:0000113	"post-juvenile"	male	"NA"	UBERON:0000014	"zone of skin"	UBERON:0000113	"post-juvenile"	male	"wild-type"	Illumina HiSeq 2000	polyA	single	NA	1.151250	0.851205	37106422	29074870	50	50	57.20	68.74	4.36	24170	NA	SRR1821827	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX893428	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Danio_rerio/Danio_rerio_RNA-Seq_read_counts_TPM_FPKM_SRP055573.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX893428
SRP055573	SRX893429	UBERON:0000014	"zone of skin"	UBERON:0000113	"post-juvenile"	male	"NA"	UBERON:0000014	"zone of skin"	UBERON:0000113	"post-juvenile"	male	"wild-type"	Illumina HiSeq 2000	polyA	single	NA	1.476505	0.975114	36371186	28397674	50	50	62.95	74.69	4.46	25495	NA	SRR1821828	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX893429	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Danio_rerio/Danio_rerio_RNA-Seq_read_counts_TPM_FPKM_SRP055573.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX893429
SRP055573	SRX893430	UBERON:0000014	"zone of skin"	UBERON:0000113	"post-juvenile"	male	"NA"	UBERON:0000014	"zone of skin"	UBERON:0000113	"post-juvenile"	male	"wild-type"	Illumina HiSeq 2000	polyA	single	NA	1.209218	0.898562	37757076	28889562	50	50	54.99	66.02	4.40	23830	NA	SRR1821829	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX893430	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Danio_rerio/Danio_rerio_RNA-Seq_read_counts_TPM_FPKM_SRP055573.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX893430
SRP055573	SRX893431	UBERON:0000014	"zone of skin"	UBERON:0000113	"post-juvenile"	male	"NA"	UBERON:0000014	"zone of skin"	UBERON:0000113	"post-juvenile"	male	"wild-type"	Illumina HiSeq 2000	polyA	single	NA	1.137837	0.912914	39481452	30247166	50	50	55.31	66.46	4.39	23987	NA	SRR1821830	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX893431	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Danio_rerio/Danio_rerio_RNA-Seq_read_counts_TPM_FPKM_SRP055573.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX893431
SRP055573	SRX893432	UBERON:0000014	"zone of skin"	UBERON:0000113	"post-juvenile"	male	"NA"	UBERON:0000014	"zone of skin"	UBERON:0000113	"post-juvenile"	male	"wild-type"	Illumina HiSeq 2000	polyA	single	NA	1.205815	0.947171	40239380	30876407	50	50	55.22	66.37	4.53	23943	NA	SRR1821831	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX893432	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Danio_rerio/Danio_rerio_RNA-Seq_read_counts_TPM_FPKM_SRP055573.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX893432
SRP055573	SRX893433	UBERON:0000014	"zone of skin"	UBERON:0000113	"post-juvenile"	male	"NA"	UBERON:0000014	"zone of skin"	UBERON:0000113	"post-juvenile"	male	"wild-type"	Illumina HiSeq 2000	polyA	single	NA	1.268032	0.897872	37777312	29147850	50	50	56.64	67.94	4.26	24320	NA	SRR1821832	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX893433	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Danio_rerio/Danio_rerio_RNA-Seq_read_counts_TPM_FPKM_SRP055573.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX893433
SRP055573	SRX893434	UBERON:0000014	"zone of skin"	UBERON:0000113	"post-juvenile"	male	"NA"	UBERON:0000014	"zone of skin"	UBERON:0000113	"post-juvenile"	male	"wild-type"	Illumina HiSeq 2000	polyA	single	NA	1.114311	0.827714	36593853	28304981	50	50	55.22	66.29	4.31	23862	NA	SRR1821833	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX893434	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Danio_rerio/Danio_rerio_RNA-Seq_read_counts_TPM_FPKM_SRP055573.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX893434
SRP055573	SRX893435	UBERON:0000014	"zone of skin"	UBERON:0000113	"post-juvenile"	male	"NA"	UBERON:0000014	"zone of skin"	UBERON:0000113	"post-juvenile"	male	"wild-type"	Illumina HiSeq 2000	polyA	single	NA	1.165084	0.702416	37942849	26286346	50	50	55.64	66.79	4.24	23841	NA	SRR1821834	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX893435	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Danio_rerio/Danio_rerio_RNA-Seq_read_counts_TPM_FPKM_SRP055573.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX893435
SRP055573	SRX893436	UBERON:0000014	"zone of skin"	UBERON:0000113	"post-juvenile"	male	"NA"	UBERON:0000014	"zone of skin"	UBERON:0000113	"post-juvenile"	male	"wild-type"	Illumina HiSeq 2000	polyA	single	NA	1.049224	0.626369	41174572	33430839	50	50	59.81	71.53	4.12	24964	NA	SRR1821835	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX893436	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Danio_rerio/Danio_rerio_RNA-Seq_read_counts_TPM_FPKM_SRP055573.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX893436
SRP055573	SRX893437	UBERON:0000014	"zone of skin"	UBERON:0000113	"post-juvenile"	male	"NA"	UBERON:0000014	"zone of skin"	UBERON:0000113	"post-juvenile"	male	"wild-type"	Illumina HiSeq 2000	polyA	single	NA	1.195103	0.828210	37254949	28679741	50	50	55.30	66.43	4.27	24016	NA	SRR1821836	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX893437	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Danio_rerio/Danio_rerio_RNA-Seq_read_counts_TPM_FPKM_SRP055573.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX893437
