sample,term,name
GSM5745642,UBERON:0001707,nasal cavity
GSM5745645,UBERON:0001707,nasal cavity
GSM5745648,UBERON:0001707,nasal cavity
GSM5745651,UBERON:0001707,nasal cavity
GSM5745654,UBERON:0001707,nasal cavity
GSM5745658,UBERON:0001707,nasal cavity
GSM5745661,UBERON:0001707,nasal cavity
GSM5745665,UBERON:0001707,nasal cavity
GSM5745639,UBERON:0001707,nasal cavity
GSM5745655,UBERON:0001707,nasal cavity
GSM5745664,UBERON:0001707,nasal cavity
GSM5745637,UBERON:0001707,nasal cavity
GSM5745640,UBERON:0001707,nasal cavity
GSM5745643,UBERON:0001707,nasal cavity
GSM5745646,UBERON:0001707,nasal cavity
GSM5745649,UBERON:0001707,nasal cavity
GSM5745652,UBERON:0001707,nasal cavity
GSM5745656,UBERON:0001707,nasal cavity
GSM5745659,UBERON:0001707,nasal cavity
GSM5745662,UBERON:0001707,nasal cavity
GSM5745666,UBERON:0001707,nasal cavity
GSM5745644,UBERON:0001707,nasal cavity
GSM5745647,UBERON:0001707,nasal cavity
GSM5745650,UBERON:0001707,nasal cavity
GSM5745653,UBERON:0001707,nasal cavity
GSM5745657,UBERON:0001707,nasal cavity
GSM5745660,UBERON:0001707,nasal cavity
GSM5745663,UBERON:0001707,nasal cavity
GSM5745667,UBERON:0001707,nasal cavity
GSM905119,CL:0000047,neural stem cell
GSM905120,CL:0000047,neural stem cell

