CUI,umls_name,mapped_mondo_id,mondo_name,from_mondo_ont,manually_searched,,
C0270726,Alexander Disease,MONDO:0008752,Alexander disease,x,,,
C0279628,Adenocarcinoma Of Esophagus,MONDO:0005028,esophageal adenocarcinoma,x,,,
C0339527,Leber Congenital Amaurosis,MONDO:0018998,Leber congenital amaurosis,x,,,
C0376358,Malignant neoplasm of prostate,MONDO:0008315,prostate cancer,x,,,
C0431108,Anaplastic Oligoastrocytoma,MONDO:0016703,anaplastic oligoastrocytoma,x,,,
C0520679,"Sleep Apnea, Obstructive",MONDO:0007147,obstructive sleep apnea syndrome,x,,,
C0878544,Cardiomyopathies,MONDO:0004994,cardiomyopathy,x,,,
C1302392,Adenoma of small intestine,MONDO:0021303,adenoma of small intestine,x,,,
C0585625,Helicobacter pylori gastrointestinal tract infection,MONDO:0006781,Helicobacter pylori infectious disease,,x,,
C0456891,Primary pulmonary hypoplasia,MONDO:0800133,pulmonary hypoplasia,,x,,
C0040034,Thrombocytopenia,MONDO:0002049,thrombocytopenia,,x,,
C0015802,Femoral Fractures,MONDO:0043589,femoral neck fracture,,x,,
C0235272,Retinal damage,MONDO:0005283,retinal disorder,,x,,
C0153594,Malignant neoplasm of testis,MONDO:0005447,testicular cancer,,x,,
C0392620,Alcohol poisoning,MONDO:0002046,alcohol abuse,,x,,
C0153426,Malignant neoplasm of duodenum,MONDO:0000920,duodenum cancer,,x,,
C0007847,Malignant tumor of cervix,MONDO:0002988,cervix melanoma,,x,,
C0026846,Muscular Atrophy,MONDO:0004323,muscular atrophy,,x,,
C0349782,Ischemic cardiomyopathy,MONDO:0004994,cardiomyopathy,,x,,
C0581377,Decompensated cardiac failure,MONDO:0005009,congestive heart failure,,x,,
C0334488,Clear cell sarcoma of kidney,MONDO:0005006,clear cell sarcoma of kidney,,x,,
C0033817,Pseudomonas Infections,MONDO:0005141,pseudomonas infection,,x,,
C0010346,Crohn Disease,MONDO:0005011,Crohn disease,,x,,
C1321542,Infertility due to azoospermia,MONDO:0018393,male infertility with azoospermia or oligozoospermia due to single gene mutation,,x,,
C0243026,Sepsis,MONDO:0005229,bacterial infectious disease with sepsis,,x,,
C1276131,Multiple benign melanocytic nevi,MONDO:0044794,benign melanocytic skin nevus,,x,,
C0007138,"Carcinoma, Transitional Cell",MONDO:0002836,urethra transitional cell carcinoma,,x,,
C0241910,Autoimmune Chronic Hepatitis,MONDO:0016264,autoimmune hepatitis,,x,,
C0346040,Melanoma in situ,MONDO:0005105,melanoma,,x,,
C0340257,Ventilator-associated lung injury,MONDO:0015796,acute lung injury,,x,,
C0018805,Heart Injuries,MONDO:0005267,heart disorder,,x,,
C0035334,Retinitis Pigmentosa,MONDO:0019200,retinitis pigmentosa,,x,,
C0686083,Carcinoma in situ of small intestine,MONDO:0004698,intestine carcinoma in situ,,x,,
C0399396,Carious exposure of pulp,MONDO:0020812,"exposure, dental pulp",,x,,
C0085786,Hamman-Rich syndrome,MONDO:0006502,acute respiratory distress syndrome,,x,,
C0020443,Hypercholesterolemia,MONDO:0005439,familial hypercholesterolemia,,x,,
C0024117,Chronic Obstructive Airway Disease,MONDO:0005002,chronic obstructive pulmonary disease,,x,,
C0020564,Hypertrophy,MONDO:0005864,muscle cancer,,x,,
C0028945,oligodendroglioma,MONDO:0016695,oligodendroglioma,,x,,
C0733682,"Hypophosphatemic Rickets, X-Linked Dominant",MONDO:0010619,X-linked dominant hypophosphatemic rickets,,x,,
