original_label,uber_id,uber_name
primordial germ cells,CL:0000670,primordial germ cell
"human embryonic retinal cells, neural retina",CL:0009004|UBERON:0003902,retinal cell|retinal neural layer
"human embryonic retinal cells, retinal pigment epithelium",CL:0009004|CL:0002586,retinal cell|retinal pigment epithelial cell
blood,UBERON:0000178,brain
ovary,UBERON:0000992,ovary
chondrocytes,CL:0000138,chondrocyte
chorionic villus,UBERON:0007106,chorionic villus
UBERON:0000922,UBERON:0000922,embryo
UBERON:0001950,UBERON:0001950,neocortex
"UBERON:0012168, UBERON:0000178",UBERON:0012168|UBERON:0000178,umbilical cord blood|blood
UBERON:0002363,UBERON:0002363,dura mater
UBERON:0000403,UBERON:0000403,scalp
UBERON:0000014,UBERON:0000014,zone of skin
UBERON:0000955,UBERON:0000955,brain
UBERON:0000473,UBERON:0000473,testis
UBERON:0002107,UBERON:0002107,liver
UBERON:0000948,UBERON:0000948,heart
UBERON:0000178,UBERON:0000178,blood
"UBERON:0002082, UBERON:0002084, UBERON:0000948",UBERON:0002082|UBERON:0002084|UBERON:0000948,cardiac ventricle|heart left ventricle|heart
"UBERON:0002385, UBERON:0001015, UBERON:0001630",UBERON:0002385|UBERON:0001015|UBERON:0001630,muscle tissue|musculature|muscle organ
UBERON:0002371,UBERON:0002371,bone marrow
"UBERON:0002661, UBERON:0000955",UBERON:0002661|UBERON:0000955,superior frontal gyrus|brain
UBERON:0001977,UBERON:0001977,blood serum
"UBERON:0000955, UBERON:0009834",UBERON:0000955|UBERON:0009834,brain|dorsolateral prefrontal cortex
UBERON:0000916,UBERON:0000916,abdomen
UBERON:0001708,UBERON:0001708,jaw skeleton
UBERON:0002113,UBERON:0002113,kidney
UBERON:0000974,UBERON:0000974,neck
UBERON:0001828,UBERON:0001828,gingiva
UBERON:0002372,UBERON:0002372,tonsil
"UBERON:0001159, UBERON:0034919, UBERON:0001155, UBERON:0001277",UBERON:0001159|UBERON:0034919|UBERON:0001155|UBERON:0001277,sigmoid colon|juvenile stage|colon|intestinal epithelium
"UBERON:0001155, UBERON:0001159, UBERON:0001277",UBERON:0001155|UBERON:0001159|UBERON:0001277,colon|sigmoid colon|intestinal epithelium
UBERON:0003104,UBERON:0003104,mesenchyme
UBERON:0001277,UBERON:0001277,intestinal epithelium
"UBERON:0001156, UBERON:0001155, UBERON:0001277",UBERON:0001156|UBERON:0001155|UBERON:0001277,ascending colon|colon|intestinal epithelium
"UBERON:0002481, UBERON:0001474",UBERON:0002481|UBERON:0001474,bone tissue|bone element
"UBERON:0001828, UBERON:0001091, UBERON:0003672",UBERON:0001828|UBERON:0001091|UBERON:0003672,gingiva|calcareous tooth|dentition
"UBERON:0034919, UBERON:0001159, UBERON:0001155, UBERON:0001277",UBERON:0034919|UBERON:0001159|UBERON:0001155|UBERON:0001277,juvenile stage|sigmoid colon|colon|intestinal epithelium
UBERON:0001155,UBERON:0001155,colon
UBERON:0000451,UBERON:0000451,prefrontal cortex
"UBERON:0001630, UBERON:0001015, UBERON:0005090",UBERON:0001630|UBERON:0001015|UBERON:0005090,muscle organ|musculature|muscle structure
"UBERON:0009834, UBERON:0000955",UBERON:0009834|UBERON:0000955,dorsolateral prefrontal cortex|brain
"UBERON:0001015, UBERON:0005090, UBERON:0001630",UBERON:0001015|UBERON:0005090|UBERON:0001630,musculature|muscle structure|muscle organ
UBERON:0000006,UBERON:0000006,islet of Langerhans
