id	name	MESH	def
MONDO:0000248	dengue shock syndrome	MESH:D019595	"""A dengue disease that involves the most severe form of dengue fever, has material basis in Dengue virus [NCBITaxon:12637] with four serotypes (Dengue virus 1, 2, 3 and 4), which are transmitted by Aedes mosquito bite. The infection has symptom easy bruising, has symptom blood spots, has symptom bleeding gums, and has symptom nosebleeds. It is accompanied by circulatory collapse, involves hypotension, narrow pulse pressure (less than or equal to 20mm Hg), or frank shock. The shock occurs after two to six days of symptoms, followed by collapse, weak pulse, and blueness around the mouth."" [DOID:0050125, http://en.wikipedia.org/wiki/Dengue_shock_syndrome, http://wwwn.cdc.gov/travel/yellowbook/2010/chapter-5/dengue-fever-dengue-hemorrhagic-fever.aspx#1645]"
MONDO:0000253	piedra	MESH:D010854	"""Either of two diseases resulting from fungal infection of the hair shafts. Black piedra occurs mainly in and on the hairs of the scalp and is caused by Piedraia hortae; white piedra occurs in and on the hairs of the scalp, beard, moustache and genital areas and is caused by Trichosporon species."" [MESH:D010854]"
MONDO:0000262	otomycosis	MESH:D059249	"""Fungus infection of the external ear, usually by aspergillus species"" [MESH:D059249]"
MONDO:0000265	aspiration pneumonia	MESH:D011015	"""A type of lung inflammation resulting from the aspiration of food, liquid, or gastric contents into the upper respiratory tract."" [MESH:D011015]"
MONDO:0000266	pulmonary aspergilloma	MESH:D055732	"""A aspergillosis that involves the lung."" [MONDO:patterns/location]"
MONDO:0000290	primary amebic meningoencephalitis	MESH:C535275	"""A infectious disease involving the Naegleria fowleri."" [MONDO:patterns/infectious_disease_by_agent]"
MONDO:0000306	trichosporonosis	MESH:D060586	"""Fungal infections caused by trichosporon that may become systemic especially in an immunocompromised host. Clinical manifestations range from superficial cutaneous infections to systemic lesions in multiple organs."" [MESH:D060586]"
MONDO:0000309	aniseikonia	MESH:D000839	"""A condition in which the ocular image of an object as seen by one eye differs in size and shape from that seen by the other."" [MESH:D000839]"
MONDO:0000313	hypophosphatemia	MESH:D017674	"""Lower than normal levels of phosphates in the circulating blood."" [NCIT:C37977]"
MONDO:0000327	Buruli ulcer disease	MESH:D054312	"""A cutaneous infection caused by Mycobacterium ulcerans. It presents with painless nodular swelling of the skin, leading to the formation of necrotizing ulcers."" [NCIT:P378]"
MONDO:0000328	hyperphosphatemia	MESH:D054559	"""Abnormally high level of phosphate in the blood."" [NCIT:P378]"
MONDO:0000330	endemic typhus	MESH:D014437	"""A bacterial infection caused by Rickettsia typhi."" [https://www.cdc.gov/typhus/murine/index.html, Wikipedia:Murine_typhus]"
MONDO:0000332	sennetsu fever	MESH:C537582	"""A disease caused by infection with Neorickettsia sennetsu."" [MONDO:patterns/infectious_disease_by_agent]"
MONDO:0000337	exanthema subitum	MESH:D005077	"""An infection that is due to human herpesvirus (HHV) types 6 or 7; it is characterized by 3-5 days of high fever followed by the acute onset of a rosy, pink, non-pruritic, macular rash that is predominantly on the neck and trunk."" [NCIT:C128420]"
MONDO:0000355	Ullrich congenital muscular dystrophy	MESH:C537521	"""Ullrich congenital muscular dystrophy (UCMD) is characterized by early-onset, generalized and slowly progressive muscle weakness, multiple proximal joint contractures, marked hypermobility of the distal joints and normal intelligence."" [Orphanet:75840]"
MONDO:0000359	spondylocostal dysostosis	MESH:C537565	"""Spondylocostal dysplasia is a rare genetic disorder characterized by defects of the bones of the spine (vertebrae) and abnormalities of the ribs. Ribs can be fused or missing in chaotic patterns. These malformations are present at birth (congenital)."" [https://rarediseases.org/rare-diseases/jarcho-levin-syndrome/]"
MONDO:0000367	taeniasis	MESH:D013622	"""A parasitic infection caused by tapeworms of the genus Taenia. Humans are infected by eating undercooked or raw meat of infected animals. It is usually an asymptomatic infection and patients may become aware of the infection by noticing segments of the tapeworm in their feces. If symptoms are present, they include nausea, abdominal pain, indigestion, constipation, or diarrhea."" [NCIT:C85180]"
MONDO:0000387	hypochromic microcytic anemia	MESH:C536357	"""Anemia in which the circulating RBCs are smaller than the usual size of RBCs (microcytic) and have decreased red color (hypochromic)."" [https://www.ncbi.nlm.nih.gov/books/NBK470252/, MONDO:cjm]"
MONDO:0000390	vitelliform macular dystrophy	MESH:D057826	"""A rare genetic disorder characterized by macular degeneration in the retina resulting in progressive loss of central vision with retention of the peripheral vision."" [NCIT:C118788]"
MONDO:0000402	small cell carcinoma	MESH:D018288	"""A neuroendocrine carcinoma composed of small malignant cells which are often said to resemble \""oat cells\"" under the microscope. Small cell carcinoma most often affects the lungs. Clinically, this is often a rapidly growing cancer that spreads to distant sites early."" [NCIT:C3915]"
MONDO:0000408	fetal alcohol spectrum disorder	MESH:D063647	"""A group of disorders caused by a prenatal exposure to maternal consumption of alcohol leading to a range of behavioral, cognitive and neurological deficits in the offspring. It is characterized by physical growth problems, distinct facies, and varying psycho-neurological issues."" [NCIT:C92780]"
MONDO:0000409	chorioamnionitis	MESH:D002821	"""A morphologic finding indicating inflammation of the fetal sac membranes. It is characterized by neutrophilic infiltration of the amnion and chorion."" [NCIT:C26720]"
MONDO:0000425	X-linked disease	MESH:D040181	"""X-linked form of disease."" [MONDO:patterns/x_linked]"
MONDO:0000428	Y-linked disease	MESH:D050174	"""Y-linked form of disease."" [MONDO:patterns/y_linked]"
MONDO:0000430	mature T-cell and NK-cell non-Hodgkin lymphoma	MESH:D016411	"""This type of lymphoma is not frequently seen in the western hemisphere. Clinically, with the exception of anaplastic large cell lymphoma, mature T- and NK-cell lymphomas are among the most aggressive of all hematopoietic neoplasms. Representative disease entities include mycosis fungoides, angioimmunoblastic T-cell lymphoma, hepatosplenic T-cell lymphoma, and anaplastic large cell lymphoma."" [NCIT:C3468]"
MONDO:0000437	cerebellar ataxia	MESH:D002524	"""A neurological syndrome characterised by clumsy and uncoordinated movement of the limbs, trunk, and cranial muscles. It results from pathology in the cerebellum and its connections, or in the proprioceptive sensory pathways."" [https://bestpractice.bmj.com/topics/en-gb/1097]"
