Experiment ID	Experiment name	Library count	Condition count	Organ-stage count	Organ count	Stage count	Sex count	Strain count	Data source	Data source URL	Bgee normalized data URL	Experiment description
ERP104395	"An RNASeq normal tissue atlas for mouse and rat"	39	13	13	13	1	1	1	SRA	https://www.ncbi.nlm.nih.gov/sra/ERP104395	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Rattus_norvegicus/Rattus_norvegicus_RNA-Seq_read_counts_TPM_FPKM_ERP104395.tsv.gz	"The function of a gene is closely connected to its expression specificity across tissues and cell types. RNA-Seq is a powerful quantitative tool to explore genome wide expression. The aim of the present study is to provide a comprehensive RNA-Seq dataset across the same 13 tissues for mouse and rat, two of the most relevant species for biomedical research. The dataset provides the transcriptome across tissues from three male C57BL6 mice and three male Han Wistar rats. We also describe our bioinformatics pipeline to process and technically validate the data. Principal component analysis shows that tissue samples from both species cluster similarly. By comparative genomics we show that many genes with high sequence identity with respect to their human orthologues have also a highly correlated tissue distribution profile and are in agreement with manually curated literature data for human. These results make us confident that the present study provides a unique resource for comparative genomics and will facilitate the analysis of tissue specificity and cross-species conservation in higher organisms."
GSE41637	"Evolutionary dynamics of gene and isoform regulation in mammalian tissues"	27	27	9	9	1	2	3	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE41637	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Rattus_norvegicus/Rattus_norvegicus_RNA-Seq_read_counts_TPM_FPKM_GSE41637.tsv.gz	"Most mammalian genes produce multiple distinct mRNAs through alternative splicing, but the extent of splicing conservation is not clear. To assess tissue-specific transcriptome variation across mammals, we sequenced cDNA from 9 tissues from 4 mammals and one bird in biological triplicate, at unprecedented depth. We find that while tissue-specific gene expression programs are largely conserved, alternative splicing is well conserved in only a subset of tissues and is frequently lineage-specific. Thousands of novel, lineage-specific and conserved alternative exons were identified; widely conserved alternative exons had signatures of binding by MBNL, PTB, RBFOX, STAR and TIA family splicing factors, implicating them as ancestral mammalian splicing regulators. Our data also indicates that alternative splicing is often used to alter protein phosphorylatability, delimiting the scope of kinase signaling."
SRP029760	"Origins and functional evolution of Y chromosome gene repertoires across the class Mammalia"	12	12	12	7	2	2	1	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRP029760	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Rattus_norvegicus/Rattus_norvegicus_RNA-Seq_read_counts_TPM_FPKM_SRP029760.tsv.gz	"We collected (Illumina) RNA-seq data (polyadenylated RNA fraction) for a number of tissue samples from common marmoset and elephant. We developed a subtraction approach based on male/female RNA-seq data, Illumina genomic data and available genomes to identify and assemble Y transcripts. For marmoset samples, we added Y coding genes and noncoding sequences to the reference genomes in order to assess their expression levels. We then mapped all RNA-seq reads with TopHat 1.4.0 and used Cufflinks 2.0.0 (all mapped reads, embedded multi-read and fragment bias correction) to calculate the FPKM (Fragments Per Kilobase of transcript per Million mapped reads) values for all genes in the genomes with our refined annotations."
ERP001694	"domestication_gene_expression"	12	2	1	1	1	2	1	SRA	https://www.ncbi.nlm.nih.gov/sra/ERP001694	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Rattus_norvegicus/Rattus_norvegicus_RNA-Seq_read_counts_TPM_FPKM_ERP001694.tsv.gz	"A comparison of brain gene expression patterns between several species pairs of domesticated and wild animals. Each pair consists of 5-6 wild and domesticated animals."
GSE43013	"Gene Expression Defines Natural Changes in Mammalian Lifespan"	9	3	3	3	1	1	1	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE43013	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Rattus_norvegicus/Rattus_norvegicus_RNA-Seq_read_counts_TPM_FPKM_GSE43013.tsv.gz	"RNA-seq gene expression profiling in normal liver, kidney and brain of 33 mammalian species."
SRP106852	"RNA-seq of Wistar-rat liver from young and old animals"	9	2	2	1	2	1	1	SRA	https://www.ncbi.nlm.nih.gov/sra/SRP106852	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Rattus_norvegicus/Rattus_norvegicus_RNA-Seq_read_counts_TPM_FPKM_SRP106852.tsv.gz	"Comparison of gene expression level by Illumina sequencing of rat liver from young and old animals. We identified differentially expressed genes and provide functional profiles, which give insights into the aging process of short-lived rodents. Overall design: 9 liver samples, 4-5 animals per group, 2 groups: 1) young males, 2) old males"
ERP014610	"RNA-Seq analysis of gene expression divergence in mammalian liver"	3	1	1	1	1	1	1	SRA	https://www.ncbi.nlm.nih.gov/sra/ERP014610	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Rattus_norvegicus/Rattus_norvegicus_RNA-Seq_read_counts_TPM_FPKM_ERP014610.tsv.gz	"The connection between evolution of regulatory elements and downstream gene expression is incompletely understood in mammals. We carried out a large-scale comparison of matched ChIP-seq and RNA-seq experiments across twenty species of mammals, using liver as a model somatic tissue. Herein we report the RNA-seq dataset, comprising twenty five species of mammals. When analysed alongside our previously reported ChIP-seq experiments, these data reveal a number of insights into how mammalian regulatory evolution propagates into differences in gene expression levels. Please note that all mouse RNA-seq libraries and three out of four human libraries have been previously reported in Array Express submission E-MTAB-4052 and are thus omitted here."
SRP007359	"Digital gene expression and global mapping of polyadenylation sites with PolyA-Seq"	2	2	2	2	1	2	1	SRA	https://www.ncbi.nlm.nih.gov/sra/SRP007359	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Rattus_norvegicus/Rattus_norvegicus_RNA-Seq_read_counts_TPM_FPKM_SRP007359.tsv.gz	"We describe PolyA-Seq, a strand-specific method for high-throughput sequencing of the 3' ends of polyadenylated transcripts. PolyA-Seq is as accurate for digital gene expression as existing RNA sequencing approaches, and superior to microarrays. We used the approach to map polyadenylation (polyA) sites in 24 samples from normal tissues in human, rhesus, dog, mouse, and rat. Overall design: Detection of polyA sites in a mixture of 24 tissues in human, mouse, rat, dog and rhesus. Samples included two replicates each of MAQC Human Brain Reference and MAQC Universal Human Reference. Two additional human sets of reads are included that were used to distinguish true polyA sites from internal priming sites."
ERP000787	"Odom_tRNA_evolution"	2	1	1	1	1	1	1	SRA	https://www.ncbi.nlm.nih.gov/sra/ERP000787	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Rattus_norvegicus/Rattus_norvegicus_RNA-Seq_read_counts_TPM_FPKM_ERP000787.tsv.gz	"NA"
SRP030211	"Annotation of mammalian sex chromosomes"	1	1	1	1	1	1	1	SRA	https://www.ncbi.nlm.nih.gov/sra/SRP030211	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Rattus_norvegicus/Rattus_norvegicus_RNA-Seq_read_counts_TPM_FPKM_SRP030211.tsv.gz	"Transcriptome data and assembled transcripts of X/Y gene pairs from human, chimpanzee, rhesus monkey, marmoset monkey, rat, mouse, cow, opossum, and chicken as an outgroup."
