Experiment ID	Library ID	Anatomical entity ID	Anatomical entity name	Stage ID	Stage name	Sex	Strain	Expression mapped anatomical entity ID	Expression mapped anatomical entity name	Expression mapped stage ID	Expression mapped stage name	Expression mapped sex	Expression mapped strain	Platform ID	Protocol	Library type	Library orientation	TMM normalization factor	TPM expression threshold	Read count	Mapped read count	Min. read length	Max. read length	All genes percent present	Protein coding genes percent present	Intergenic regions percent present	Distinct rank count	Max rank in the expression mapped condition	Run IDs	Data source	Data source URL	Bgee normalized data URL	Raw file URL
SRP000401	SRX037186	UBERON:0000922	"embryo"	UBERON:0000068	"embryo stage"	NA	"N2"	UBERON:0000922	"embryo"	UBERON:0000068	"embryo stage"	not annotated	"N2"	Illumina Genome Analyzer II	polyA	single	NA	0.721086	0.328651	90765593	78343140	76	76	31.42	67.85	4.68	18741	NA	SRR089784|SRR089785|SRR089786	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX037186	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Caenorhabditis_elegans/Caenorhabditis_elegans_RNA-Seq_read_counts_TPM_FPKM_SRP000401.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX037186
SRP000401	SRX004863	UBERON:0000922	"embryo"	UBERON:0000068	"embryo stage"	NA	"NA"	UBERON:0000922	"embryo"	UBERON:0000068	"embryo stage"	not annotated	"wild-type"	Illumina Genome Analyzer II	polyA	single	NA	2.441077	3.715210	38246864	27612270	36	36	28.21	61.95	0.41	20281	NA	SRR016669|SRR016670	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX004863	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Caenorhabditis_elegans/Caenorhabditis_elegans_RNA-Seq_read_counts_TPM_FPKM_SRP000401.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX004863
SRP000401	SRX099902	UBERON:0000922	"embryo"	UBERON:0000106	"zygote stage"	NA	"N2"	UBERON:0000922	"embryo"	UBERON:0000106	"zygote stage"	not annotated	"N2"	Illumina HiSeq 2000	polyA	single	NA	1.022724	3.149370	1755180	1590448	101	101	16.24	37.10	0.13	9124	NA	SRR350954	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX099902	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Caenorhabditis_elegans/Caenorhabditis_elegans_RNA-Seq_read_counts_TPM_FPKM_SRP000401.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX099902
SRP000401	SRX085217	UBERON:0000922	"embryo"	UBERON:0000109	"gastrula stage"	NA	"N2"	UBERON:0000922	"embryo"	UBERON:0000109	"gastrula stage"	not annotated	"N2"	Illumina Genome Analyzer II	polyA	paired	NA	1.358278	0.714357	3384227	3322238	76	76	21.59	46.08	1.19	12424	NA	SRR316753	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX085217	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Caenorhabditis_elegans/Caenorhabditis_elegans_RNA-Seq_read_counts_TPM_FPKM_SRP000401.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX085217
SRP000401	SRX099907	UBERON:0000922	"embryo"	UBERON:0007232	"2 cell stage"	NA	"N2"	UBERON:0000922	"embryo"	UBERON:0007232	"2 cell stage"	not annotated	"N2"	Illumina HiSeq 2000	polyA	single	NA	0.992689	1.856240	944553	878733	100	100	17.85	40.26	0.26	9898	NA	SRR350957	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX099907	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Caenorhabditis_elegans/Caenorhabditis_elegans_RNA-Seq_read_counts_TPM_FPKM_SRP000401.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX099907
SRP000401	SRX099908	UBERON:0000922	"embryo"	UBERON:0007232	"2 cell stage"	NA	"N2"	UBERON:0000922	"embryo"	UBERON:0007232	"2 cell stage"	not annotated	"N2"	Illumina HiSeq 2000	polyA	single	NA	0.970189	1.070730	5436972	5121508	101	101	19.19	43.10	0.47	10337	NA	SRR350956	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX099908	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Caenorhabditis_elegans/Caenorhabditis_elegans_RNA-Seq_read_counts_TPM_FPKM_SRP000401.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX099908
SRP000401	SRX099915	UBERON:0000922	"embryo"	WBls:0000009	"28-cell embryo Ce (C. elegans)"	NA	"N2"	UBERON:0000922	"embryo"	WBls:0000009	"28-cell embryo Ce (C. elegans)"	not annotated	"N2"	Illumina HiSeq 2000	polyA	single	NA	1.015248	0.527871	23469028	21573496	101	101	26.31	58.12	1.73	14986	NA	SRR350958	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX099915	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Caenorhabditis_elegans/Caenorhabditis_elegans_RNA-Seq_read_counts_TPM_FPKM_SRP000401.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX099915
SRP000401	SRX004866	UBERON:0000922	"embryo"	WBls:0000021	"fully-elongated embryo Ce (C. elegans)"	NA	"N2"	UBERON:0000922	"embryo"	WBls:0000021	"fully-elongated embryo Ce (C. elegans)"	not annotated	"N2"	Illumina Genome Analyzer II	polyA	single	NA	1.410566	1.670340	55550848	38023118	36	36	30.98	67.61	3.90	20191	NA	SRR016676|SRR016677|SRR016678|SRR016687	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX004866	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Caenorhabditis_elegans/Caenorhabditis_elegans_RNA-Seq_read_counts_TPM_FPKM_SRP000401.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX004866
SRP000401	SRX047446	UBERON:0000922	"embryo"	WBls:0000021	"fully-elongated embryo Ce (C. elegans)"	NA	"N2"	UBERON:0000922	"embryo"	WBls:0000021	"fully-elongated embryo Ce (C. elegans)"	not annotated	"N2"	Illumina Genome Analyzer II	polyA	single	NA	1.384062	0.335819	58257296	45443514	76	76	33.97	73.15	4.47	19024	NA	SRR124255|SRR124256|SRR124257	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX047446	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Caenorhabditis_elegans/Caenorhabditis_elegans_RNA-Seq_read_counts_TPM_FPKM_SRP000401.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX047446
SRP000401	SRX037288	UBERON:0002548	"larva"	WBls:0000024	"L1 larva Ce (C. elegans)"	NA	"N2"	UBERON:0002548	"larva"	WBls:0000024	"L1 larva Ce (C. elegans)"	not annotated	"N2"	Illumina Genome Analyzer II	polyA	single	NA	0.840273	0.147601	91488132	73845126	76	76	32.66	70.29	5.01	19215	NA	SRR089821|SRR089822|SRR089823	SRA	https://www.ncbi.nlm.nih.gov/sra/SRX037288	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Caenorhabditis_elegans/Caenorhabditis_elegans_RNA-Seq_read_counts_TPM_FPKM_SRP000401.tsv.gz	https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX037288
