Experiment ID	Experiment name	Library count	Condition count	Organ-stage count	Organ count	Stage count	Sex count	Strain count	Data source	Data source URL	Bgee normalized data URL	Experiment description
SRP000401	"Deep sequencing of the Caenorhabditis elegans transcriptome using RNA isolated from various developmental stages under various experimental conditions RW0001"	15	12	11	3	10	1	2	SRA	https://www.ncbi.nlm.nih.gov/sra/SRP000401	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Caenorhabditis_elegans/Caenorhabditis_elegans_RNA-Seq_read_counts_TPM_FPKM_SRP000401.tsv.gz	"The goal of this study, started as a part of the modENCODE project, is to detect and characterize previously unannotated transcripts of the C. elegans genome."
SRP021083	"Deep sequencing of endogenous mRNA from Caenorhabditis elegans in the presence and absence of rotenone at 4 different time points"	11	4	4	1	4	1	1	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRP021083	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Caenorhabditis_elegans/Caenorhabditis_elegans_RNA-Seq_read_counts_TPM_FPKM_SRP021083.tsv.gz	"We here show that inhibitors of mitochondrial complex I promote physical activity, stress resistance as well as lifespan of Caenorhabditis elegans despite normal food uptake, i.e. in the absence of DR. Dietary restriction (DR) extends lifespan and promotes metabolic health in evolutionary distinct species. The RNA-seq data comprises 4 age groups (1, 5, 10 and 20 days after L4) and 2 different conditions (rotenone and normal feeding (DMSO)) Overall design: 22 samples: mRNA profiles of 1-day, 5-day and 10-day old worms as triplicates for each, rotenone and solvent control treatment; mRNA profiles of 20-day old worms as duplicates for each, rotenone and solvent control treatment"
GSE16552	"Transcriptome of wild type N2 worms at embronic stage and starved L1 stage"	6	2	2	2	2	1	1	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE16552	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Caenorhabditis_elegans/Caenorhabditis_elegans_RNA-Seq_read_counts_TPM_FPKM_GSE16552.tsv.gz	"Non-coding RNA profiling by high throughput sequencing"
GSE41367	"Caenorhabditis sex-specific RNAseq"	6	1	1	1	1	1	1	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE41367	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Caenorhabditis_elegans/Caenorhabditis_elegans_RNA-Seq_read_counts_TPM_FPKM_GSE41367.tsv.gz	"Expression profiling by high throughput sequencing"
SRP003492	"Caenorhabditis angaria genome sequencing project"	2	2	2	1	2	1	2	SRA	https://www.ncbi.nlm.nih.gov/sra/SRP003492	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Caenorhabditis_elegans/Caenorhabditis_elegans_RNA-Seq_read_counts_TPM_FPKM_SRP003492.tsv.gz	"Whole Genome Sequencing"
GSE22410	"Multimodal RNA-seq using single-strand, double-strand, and circligase-based capture yields a refined and extended description of the C. elegans transcriptome"	1	1	1	1	1	1	1	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE22410	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Caenorhabditis_elegans/Caenorhabditis_elegans_RNA-Seq_read_counts_TPM_FPKM_GSE22410.tsv.gz	"Expression profiling by high throughput sequencing"
