Experiment ID	Experiment name	Library count	Condition count	Organ-stage count	Organ count	Stage count	Sex count	Strain count	Data source	Data source URL	Bgee normalized data URL	Experiment description
SRP001696	"modENCODE D. melanogaster Developmental Total RNA-Seq"	149	51	45	16	27	4	1	SRA	https://www.ncbi.nlm.nih.gov/sra/SRP001696	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Drosophila_melanogaster/Drosophila_melanogaster_RNA-Seq_read_counts_TPM_FPKM_SRP001696.tsv.gz	"These data were produced for the modENCODE project (http://www.modencode.org/). For a description of the protocols and other experimental details please refer to the data distribution site http://www.modencode.org/Celniker.shtml. In accordance with NHGRI guidelines for community resource projects (http://www.genome.gov/), there is no restriction on the use or analysis of these data. However, the end-user is asked to respect a nine-month moratorium (from the public submission date) before submitting manuscripts describing analysis of these data. If the data producer has published any description of these data before the nine-month period, the moratorium ceases to apply and this accession page will be updated to note the appropriate citation."
SRP009459	"Identification of polyA sites in Drosophila melanogaster (modENCODE project)"	50	21	18	9	7	4	1	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRP009459	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Drosophila_melanogaster/Drosophila_melanogaster_RNA-Seq_read_counts_TPM_FPKM_SRP009459.tsv.gz	"The 3' ends of most Drosophila melanogaster genes are poorly annotated or are determined by only a single EST or cDNA clone. To enhance the annotation of poly(A) site use in Drosophila, we performed deep sequencing on RNA isolated from 29 dissected tissues using an approach designed to enrich for poly(A) spanning reads. From these experiments, we identified 1.4 million poly(A) spanning reads leading to the identification of many new poly(A) sites and the identification of many tissue-specific poly(A) sites."
SRP002072	"Developmental Profile of the Drosophila Transcriptome by Paired-End RNA-Sequencing"	12	10	9	4	9	3	1	SRA	https://www.ncbi.nlm.nih.gov/sra/SRP002072	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Drosophila_melanogaster/Drosophila_melanogaster_RNA-Seq_read_counts_TPM_FPKM_SRP002072.tsv.gz	"In order to gain a broad sampling of the Drosophila transcriptome, RNA-Seq experiments were performed at all stages of the Drosophila life cycle, and 12 independent cDNA libraries were generated, including embryonic, larval, pupal, and adult. Some libraries were staged as specific windows: 2-4 hour embryo, 14-16 hour embryo, 3rd instar larva, 3-day pupa, and 17-day adult. Additional libraries were derived from broadly staged mixed samples: embryo, larvae, and pupa. Three-day old male and female adults were sequenced separately for discovery of sex-specific variation. Finally, one library of mixed-age pupal RNA was sequenced in replicate as a validation of the technology. A total of 272 million paired-end reads of 64-75 base pairs in length were obtained, representing greater than 690x sequence coverage of the 30Mb Drosophila melanogaster transcriptome."
SRP011074	"Deep sequencing the circadian and light-dependent transcriptome of Drosophila brain"	12	1	1	1	1	1	1	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRP011074	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Drosophila_melanogaster/Drosophila_melanogaster_RNA-Seq_read_counts_TPM_FPKM_SRP011074.tsv.gz	"RNA-Seq transcriptional profiling of Drosophila brains from wildtype and period loss-of-function (per0) flies with time points taken over two days in constant darkness. Time points at CT24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, and 68. 10-12 brains per time point."
GSE44612	"Comparative Validation of the D. melanogaster Encyclopedia of DNA Elements Transcript Models"	8	4	2	2	2	2	2	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE44612	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Drosophila_melanogaster/Drosophila_melanogaster_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.gz	""
SRP103757	"RNA transcriptome in Drosophila melanogaster embryos mutant for serine hydroxymethyl transferase (SHMT)"	6	2	2	1	2	1	1	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRP103757	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Drosophila_melanogaster/Drosophila_melanogaster_RNA-Seq_read_counts_TPM_FPKM_SRP103757.tsv.gz	"We report the analysis of the transcriptome in Drosophila embryos with two genotypes (1: wild type, 2: embryos from germline clones of a SHMT mutant (allele X238)) and two developmental stages (1: pre-blastoderm, stage 1 and stage 2, 0-1h after egg lay, 2: late blastoderm/cellularisation stage 5, 1.5-2.5 h after egg lay)"
SRP073726	"Transcriptional profiles of Drosophila melanogaster testes and seminal vesicles/testes terminal epithelium"	4	2	2	2	1	1	1	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRP073726	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Drosophila_melanogaster/Drosophila_melanogaster_RNA-Seq_read_counts_TPM_FPKM_SRP073726.tsv.gz	"Testes and testes terminal epithelium/seminal vesicles were dissected and separated from 4-5 day old Oregon-R-modENCODE Drosophila melanogaster males. RNA-sequencing was then performed on these two distinct biological structures. Overall design: Testes and testes terminal epithelium/seminal vesicles were dissected and separated from 4-5 day old Oregon-R-modENCODE Drosophila melanogaster males on two consecutive days resulting in two biological replicates. Total RNA was immediately extracted and used to prepare poly-A RNA-seq libraries. Single-end 50 bp sequencing was performed on all four samples and mapped to the Flybase Drosophila melanogaster release 6.06 genome."
GSE38998	"RNA sequencing in fly heads to examine the effect of spermidine feeding on transcription in the ageing fly brain."	4	2	2	1	2	1	1	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE38998	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Drosophila_melanogaster/Drosophila_melanogaster_RNA-Seq_read_counts_TPM_FPKM_GSE38998.tsv.gz	"mRNA profiles from 3 and 10 day old Drosophila melanogaster heads were generated in duplicate by deep sequencing using Illumina GAIIx. mRNA profiles from flies that were fed food with 5mM spermidine were compared to profiles from flies that had no spermidine in thier food."
SRP099257	"Pervasive epigenetic effects of Drosophila euchromatic transposable elements impact their evolution [RNA-seq]"	4	2	1	1	1	1	2	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRP099257	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Drosophila_melanogaster/Drosophila_melanogaster_RNA-Seq_read_counts_TPM_FPKM_SRP099257.tsv.gz	"We study the relatively unexplored evolutionary consequences of the epigenetic effects of transpoable elements (TEs) by providing the first genome-wide quantification of such effects in wild-derived D. melanogaster and D. simulans strains. Surprisingly, over half of euchromatic TEs show spread of repressive epigenetic marks to nearby DNA, resulting in differential epigenetic states of homologous genic alleles and, in return, selection against TEs. Interestingly, compared to D. melanogaster, the lower TE content in D. simulans is correlated with stronger epigenetic effects of TEs and higher levels of host genetic factors known to promote epigenetic silencing. We conclude that the epigenetic effects of euchromatic TEs, and host genetic factors modulating such effects, play a critical role in the population dynamics of TEs within and between species. Overall design: Examine the epigenetic effects of transposable elements"
SRP125768	"A single-cell transcriptome atlas of the ageing Drosophila brain"	4	2	1	1	1	1	2	SRA	https://www.ncbi.nlm.nih.gov/sra/SRP125768	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Drosophila_melanogaster/Drosophila_melanogaster_RNA-Seq_read_counts_TPM_FPKM_SRP125768.tsv.gz	"Overall design: scRNA-seq (10x Genomics CHROMIUM Single Cell 3' Solution V2 Chemistry and Drop-seq) of adult brains from Drosophila melanogaster at various ages; SMART-seq2 on FAC-sorted R23E10-Gal4 positive neurons of adult brains from Drosophila melanogaster; Adapted SMART-seq2 on FAC-sorted R23E10-Gal4 positive neurons of adult brains from Drosophila melanogaster; CEL-seq2 on FAC-sorted R23E10-Gal4 positive neurons of adult brains from Drosophila melanogaster; Bulk RNA-seq of adult brains from Drosophila melanogaster; ATAC-seq of young (0 days) and old (50 days) adult brains from Drosophila melanogaster"
